term	comparison	estimate	conf.low	conf.high	adj.p.value
semester	Winter2016-Winter2015	5.524918367346993	2.095467663059503	8.954369071634483	0
semester	Fall2016-Winter2015	4.9321012658228085	1.696893987982464	8.167308543663154	0
semester	Fall2018-Winter2015	5.1710325203252605	1.8441359010245253	8.497929139625995	0
semester	Winter2016-Fall2015	5.47913870633001	2.981090074255608	7.977187338404413	0
semester	Fall2016-Fall2015	4.886321604805826	2.662432901281757	7.1102103083298935	0
semester	Winter2017-Fall2015	2.7201135428665157	0.25541064481770226	5.184816440915329	0.02
semester	Winter2018-Fall2015	2.653041767554461	0.45763283478566574	4.848450700323256	0.01
semester	Fall2018-Fall2015	5.125252859308278	2.7699702965176707	7.4805354220988844	0
semester	Winter2019-Fall2015	2.649069395586821	0.20305996130242088	5.0950788298712215	0.02
semester	Winter2017-Winter2016	-2.7590251634634946	-5.338281067955085	-0.17976925897190332	0.03
semester	Winter2018-Winter2016	-2.8260969387755495	-5.149375016683043	-0.5028188608680559	0.01
semester	Winter2019-Winter2016	-2.8300693107431893	-5.3914679126427085	-0.2686707088436706	0.02
semester	Winter2017-Fall2016	-2.16620806193931	-4.480942391902017	0.14852626802339763	0.09
semester	Winter2018-Fall2016	-2.2332798372513647	-4.258879754495316	-0.20767992000741264	0.02
semester	Winter2019-Fall2016	-2.2372522092190046	-4.532071765364101	0.057567346926092	0.06
semester	Fall2018-Winter2017	2.405139316441762	-0.0361042197977981	4.846382852681321	0.06
semester	Fall2018-Winter2018	2.4722110917538167	0.3031721318311891	4.641250051676444	0.01
semester	Winter2019-Fall2018	-2.4761834637214566	-4.8985525066605184	-0.053814420782394734	0.04
